"id","export_id/id","sequence","name"
"prd_bom1","ir_exp_product_bom",0,"id"
"prd_bom2","ir_exp_product_bom",4,"bom_ids/name"
"prd_bom3","ir_exp_product_bom",8,"bom_ids/bom_line_ids/product_id/id"
"prd_bom4","ir_exp_product_bom",12,"bom_ids/bom_line_ids/product_qty"
"bom0","ir_exp_bom",0,"id"
"bom1","ir_exp_bom",4,"name"
"bom2","ir_exp_bom",8,"product_tmpl_id/id"
"bom3","ir_exp_bom",12,"product_qty"
"bom4","ir_exp_bom",16,"bom_line_ids/product_id/id"
"bom6","ir_exp_bom",24,"bom_line_ids/product_qty"
